x,y,z
-2.0,8.0,14.530215637945894
-2.0,9.0,14.972821784475169
-2.0,10.0,14.925590376055839
-2.0,11.0,14.802497122295591
-2.0,12.0,14.80772125026622
-2.0,13.0,14.498830425484122
-2.0,14.0,14.444678365574978
-2.0,15.0,15.155585753831202
-1.0,-15.0,14.558170362691058
-1.0,-14.0,13.76976024930312
-1.0,-13.0,14.110247267712948
-1.0,-12.0,14.17955531792585
-1.0,-11.0,13.72669509151939
-1.0,-10.0,12.808674500140263
-1.0,-9.0,12.017773281276872
-1.0,-8.0,12.245911806932526
-1.0,-7.0,13.041530635048233
-1.0,-6.0,13.417046937663784
-1.0,-5.0,13.65245382939479
-1.0,-4.0,14.169173583336867
-1.0,-3.0,14.449403547487954
-1.0,-2.0,14.424510180824512
-1.0,-1.0,14.763223675062344
-1.0,0.0,15.43140823595251
-1.0,1.0,15.792716167930234
-1.0,2.0,15.752157040153222
-1.0,3.0,15.621101355085344
-1.0,4.0,15.433524431527514
-1.0,5.0,15.032310613519636
-1.0,6.0,14.585678338625227
-1.0,7.0,14.597337146874334
-1.0,8.0,15.082789721611448
-1.0,9.0,15.296588050260297
-1.0,10.0,14.958540836912723
-1.0,11.0,14.752097818554446
-1.0,12.0,14.961901361953043
-1.0,13.0,15.066177322643089
-1.0,14.0,14.938107513360688
-1.0,15.0,14.893558278738873
0.0,-15.0,15.500685376491523
0.0,-14.0,15.174395480775598
0.0,-13.0,15.845577944796517
0.0,-12.0,16.0988005870389
0.0,-11.0,15.380860554156179
0.0,-10.0,13.956972925618738
0.0,-9.0,13.03515042568285
0.0,-8.0,13.33203497545583
0.0,-7.0,13.84841269258791
0.0,-6.0,13.843728948747678
0.0,-5.0,13.91284930299791
0.0,-4.0,14.268985357755874
0.0,-3.0,14.559173435991758
0.0,-2.0,14.847211593271258
0.0,-1.0,15.157980040360476
0.0,0.0,15.417029611077322
0.0,1.0,15.703635780711616
0.0,2.0,15.581644571230514
0.0,3.0,14.81495931193366
0.0,4.0,14.32220972099542
0.0,5.0,14.519716112762412
0.0,6.0,14.721740225985963
0.0,7.0,14.89684791270241
0.0,8.0,15.22421282259656
0.0,9.0,15.063594715594744
0.0,10.0,14.526969117213383
0.0,11.0,14.52820754307382
0.0,12.0,14.933927950035416
0.0,13.0,15.234772567811438
0.0,14.0,15.427315279011934
0.0,15.0,15.131595723422382
1.0,-15.0,15.323620731649962
1.0,-14.0,15.259874263159125
1.0,-13.0,16.297406379679853
1.0,-12.0,16.193378061562328
1.0,-11.0,14.961915671347265
1.0,-10.0,14.002582238506747
1.0,-9.0,13.857308370950383
1.0,-8.0,13.976967567398924
1.0,-7.0,13.82489348907708
1.0,-6.0,13.594940778775264
1.0,-5.0,13.572633647723627
1.0,-4.0,13.656255933829582
1.0,-3.0,14.00042051944954
1.0,-2.0,14.684647305333776
1.0,-1.0,15.073193784949977
1.0,0.0,15.023384668622757
1.0,1.0,15.072894846821837
1.0,2.0,14.839802297691056
1.0,3.0,13.861496761513074
1.0,4.0,13.087403963342684
1.0,5.0,13.206779981731685
1.0,6.0,13.712302352058959
1.0,7.0,14.306027590437681
1.0,8.0,14.746506513637058
1.0,9.0,14.595032356629634
1.0,10.0,14.362134036098357
1.0,11.0,14.542523172476265
1.0,12.0,14.600041346873759
1.0,13.0,14.722860097094827
1.0,14.0,15.38574576720032
1.0,15.0,15.445565369301304
2.0,-15.0,15.870554920582203
2.0,-14.0,15.678945806199742
2.0,-13.0,15.930569031941094
2.0,-12.0,15.145148993265536
2.0,-11.0,14.246733121253012
2.0,-10.0,14.268473339837572
2.0,-9.0,14.603423706511062
2.0,-8.0,14.494066502125333
2.0,-7.0,14.164465051663761
2.0,-6.0,14.067086563719293
2.0,-5.0,14.026210661267191
2.0,-4.0,13.814877714486565
2.0,-3.0,13.939669882013051
2.0,-2.0,14.637743373621507
2.0,-1.0,15.088983803872459
2.0,0.0,14.920461141597766
2.0,1.0,14.768134990909255
2.0,2.0,14.641976744941825
2.0,3.0,13.997037612543165
2.0,4.0,13.24768707259398
2.0,5.0,13.171271632488132
2.0,6.0,13.685178981123668
2.0,7.0,14.289197858501945
2.0,8.0,14.652370749516583
2.0,9.0,14.694735634291382
2.0,10.0,14.640236868729163
2.0,11.0,14.626008750178787
2.0,12.0,14.652116990466089
2.0,13.0,14.950866508095869
2.0,14.0,15.353260573601526
2.0,15.0,15.16860921537702
3.0,-15.0,16.085521219329415
3.0,-14.0,15.702372762421989
3.0,-13.0,15.50425835688664
3.0,-12.0,14.829049127967584
3.0,-11.0,14.638918405947702
3.0,-10.0,14.704072218856362
3.0,-9.0,14.233544346351087
3.0,-8.0,13.860648787944378
3.0,-7.0,14.132238006644462
3.0,-6.0,14.458115360251215
3.0,-5.0,14.43997637034202
3.0,-4.0,14.247148134617298
3.0,-3.0,14.171947159024622
3.0,-2.0,14.443547690907275
3.0,-1.0,14.712722927702494
3.0,0.0,14.523315280538004
3.0,1.0,14.3018164153283
3.0,2.0,14.363453547470984
3.0,3.0,14.184185410340953
3.0,4.0,13.86217997018494
3.0,5.0,14.070987075329864
3.0,6.0,14.470213505648081
3.0,7.0,14.53372979194092
3.0,8.0,14.679961330245623
3.0,9.0,14.934568046439697
3.0,10.0,14.729382528171286
3.0,11.0,14.48926984836551
3.0,12.0,14.94590084729072
3.0,13.0,15.509431267076627
3.0,14.0,15.306843773143736
3.0,15.0,14.634638786603887
4.0,-15.0,14.811078830061934
4.0,-14.0,14.3811125172409
4.0,-13.0,14.956547418575465
4.0,-12.0,14.713686552137673
4.0,-11.0,14.599862491337277
4.0,-10.0,14.567281070430553
4.0,-9.0,13.577753467365127
4.0,-8.0,12.827078851352873
4.0,-7.0,13.341967420760566
4.0,-6.0,13.821277638632688
4.0,-5.0,13.645915998580817
4.0,-4.0,13.566817017211664
4.0,-3.0,13.609510575846057
4.0,-2.0,13.611763778316353
4.0,-1.0,13.782800108960027
4.0,0.0,13.821709704051296
4.0,1.0,13.616826718530243
4.0,2.0,13.602937667263786
4.0,3.0,13.70667770519262
4.0,4.0,13.78250686374746
4.0,5.0,13.991412212979697
4.0,6.0,13.992538290139814
4.0,7.0,13.798767055809977
4.0,8.0,14.160909227533004
4.0,9.0,14.673922159441346
4.0,10.0,14.43940078693227
4.0,11.0,14.223656160339022
4.0,12.0,14.755970070743569
4.0,13.0,15.168434198008635
4.0,14.0,14.988993621560365
4.0,15.0,14.561036521716577
5.0,-15.0,14.149390676504579
5.0,-14.0,13.679577162725712
5.0,-13.0,14.860026843036295
5.0,-12.0,14.516588826545403
5.0,-11.0,14.038833427975474
5.0,-10.0,14.537946152605446
5.0,-9.0,14.34642151030447
5.0,-8.0,13.609426928539268
5.0,-7.0,13.522742885204872
5.0,-6.0,13.37072415430178
5.0,-5.0,12.864527168039514
5.0,-4.0,12.828234857888132
5.0,-3.0,13.018726101188692
5.0,-2.0,13.11343867557839
5.0,-1.0,13.524010970850863
5.0,0.0,13.9122817962382
5.0,1.0,13.825475932541261
5.0,2.0,13.65924050824717
5.0,3.0,13.556891372112865
5.0,4.0,13.447256993970079
5.0,5.0,13.496014258872925
5.0,6.0,13.434283327900452
5.0,7.0,13.296704616846007
5.0,8.0,13.75860316229054
5.0,9.0,14.347658683814211
5.0,10.0,14.12974841899409
5.0,11.0,13.810071942137256
5.0,12.0,14.16468954234163
5.0,13.0,14.594662041195388
5.0,14.0,14.741735335335777
5.0,15.0,14.624699153509244
6.0,-15.0,14.127868995154733
6.0,-14.0,13.625728316715408
6.0,-13.0,14.851009425635063
6.0,-12.0,14.449036402374256
6.0,-11.0,13.86910091586552
6.0,-10.0,14.510077347116116
6.0,-9.0,14.75053948403662
6.0,-8.0,14.32557976712713
6.0,-7.0,13.959194303623786
6.0,-6.0,13.224843911083367
6.0,-5.0,12.601727902228019
6.0,-4.0,12.87865542087539
6.0,-3.0,13.147836108693582
6.0,-2.0,13.03371189807042
6.0,-1.0,13.37014828997743
6.0,0.0,13.915208827956974
6.0,1.0,14.025310702164445
6.0,2.0,13.810406899709921
6.0,3.0,13.28856507810862
6.0,4.0,12.906065618863929
6.0,5.0,13.377672102810143
6.0,6.0,13.915376667452245
6.0,7.0,13.744683512226503
6.0,8.0,13.843063452827334
6.0,9.0,14.351962118286046
6.0,10.0,14.011500315371391
6.0,11.0,13.24782708522192
6.0,12.0,13.474005280745567
6.0,13.0,14.245157071197657
6.0,14.0,14.416183944311385
6.0,15.0,14.079872058075773
7.0,-15.0,13.27852702753466
7.0,-14.0,13.009851013996911
7.0,-13.0,14.28828386580814
7.0,-12.0,14.210961433190652
7.0,-11.0,14.02451341950137
7.0,-10.0,14.193711395030533
7.0,-9.0,13.54120959585746
7.0,-8.0,13.040356393414552
7.0,-7.0,13.233973234709115
7.0,-6.0,12.793483359502533
7.0,-5.0,12.341694542345792
7.0,-4.0,13.035815646769406
7.0,-3.0,13.438394929072139
7.0,-2.0,12.863229757457544
7.0,-1.0,12.759392581182627
7.0,0.0,13.186705020310834
7.0,1.0,13.103310458277136
7.0,2.0,12.636753486176683
7.0,3.0,12.24482827835572
7.0,4.0,12.287048169086415
7.0,5.0,13.081090943864556
7.0,6.0,13.788748888704083
7.0,7.0,13.706186689243973
7.0,8.0,13.822868346607462
7.0,9.0,14.39372722496436
7.0,10.0,14.07473990538259
7.0,11.0,12.987570055295471
7.0,12.0,12.702949167111477
7.0,13.0,13.293757350502048
7.0,14.0,13.636724459355937
7.0,15.0,13.498484279573988
8.0,-15.0,13.06125730467292
8.0,-14.0,13.052189373603595
8.0,-13.0,13.972064422855167
